Column1;_8;_9
行き[いき];いき は しんかんせん で いった;Je suis allé en train à grande vitesse sur le chemin.
症状[しょうじょう];いしゃ に しょうじょう を せつめい した よ;J'ai expliqué les symptômes au médecin.
市場[いちば];いちば で しんせん な さかな を かって きました;J'ai acheté du poisson frais au marché.
両替[りょうがえ];いちまんえん を りょうがえ して ください;Veuillez échanger 10 000 yens pour moi.
前進[ぜんしん];いちれつ に ならんで ぜんしん して ください;Veuillez former une ligne et avancer.
一生[いっしょう];いっしょう の おねがい が あります;J'ai une faveur unique dans une vie.
騒ぎ[さわぎ];いったい なん の さわぎ です か;Qu'est-ce que c'est que l'agitation ?
一般[いっぱん];いっぱん の かた は こちら の せき へ どうぞ;Les places générales sont par ici.
振る[ふる];いぬ が しっぽ を ふって いる;Le chien remue la queue.
鎖[くさり];いぬ を くさり で つなぎました;J'ai attaché le chien avec une chaîne.
課[か];いま から か の みーてぃんぐ が ある;Notre division va avoir une réunion maintenant.
答案[とうあん];いま から とうあん を あつめます;Je vais récupérer les feuilles de réponses maintenant.
温度[おんど];いま へや の おんど は にじゅうごど だ;La température de cette pièce est actuellement de 25 degrés.
豆[まめ];いま まめ を にて います;Je fais bouillir des haricots maintenant.
喋り[しゃべり];いもうと は とても おしゃべり です;Ma petite soeur est très bavarde.
医療[いりょう];いりょう かんけい の しごと を して います;Je travaille dans le domaine de la santé.
梅[うめ];うめ の はな が さきました;Les fleurs de prunier ont fleuri.
延期[えんき];うんどうかい は あめ で えんき されました;La compétition sportive a été reportée en raison de la pluie.
触る[さわる];え に さわらない で ください;S'il vous plaît ne touchez pas la peinture.
大部分[だいぶぶん];え の だいぶぶん が みず に ぬれて しまった な;Une grande partie de l'image a été mouillée.
衛星[えいせい];えいせい が うちあげられました ね;Le satellite a été lancé.
縄[なわ];えだ を なわ で しばった よ;J'ai lié la branche avec la corde.
伺う[うかがう];お 話[はな]しを 伺[うかが]いたいのですが。;Je veux entendre votre histoire.
大いに[おおいに];おおいに まなび おおいに あそびなさい;Apprenez beaucoup, jouez beaucoup.
拍手[はくしゅ];おおき な はくしゅ が あがった;Il y eut une grande salve d'applaudissements.
周囲[しゅうい];おおごえ で はなす と しゅうい の ひと に めいわく です よ;Si vous parlez fort, vous dérangerez les gens autour de vous.
丘[おか];おか の うえ に ほてる が たちました ね;Un hôtel a été construit au sommet de la colline.
上[かみ];おかみ は なに を かんがえて る ん だろう ね;Que prévoit le gouvernement ?
勘定[かんじょう];おかんじょう を して ください;Est-ce que je peux avoir la facture s'il-vous-plaît?
沖[おき];おき に こじま が みえます;Une petite île peut être vue au large de la côte.
収穫[しゅうかく];おこめ の しゅうかく が はじまった ね;La récolte du riz a commencé.
伯父さん[おじさん];おじさんがクリスマスプレゼントをくれました。;Mon oncle m'a offert un cadeau de Noël.
男[おとこ];おとこ の ひと が わたしたち に はなしかけた (話しかける = accoster. かける = accrocher);Cet homme a commencé à nous parler.
湯[ゆ];おふろ の おゆ が いっぱい です;Le bain est rempli d'eau chaude.
出来事[できごと];おもしろい できごと が ありました;Un évènement intéressant s'est produit.
勘[かん];おんな の かん を あまく みて は いけません;Ne sous-estimez pas l'intuition d'une femme.
お弁当[おべんとう];お弁当はよかったでしょう。;Le panier-repas était bon, n'est-ce pas ?
航空[こうくう];かいぎ で こうくう の あんぜん に ついて はなしあった の;La sécurité aérienne a été discutée lors de la conférence.
候補[こうほ];かいちょう の こうほ は さんにん います;Il y a trois candidats à la présidence.
氏[し];かいちょう は たなかし に けってい;Il a été décidé que M. Tanaka serait président.
支払う[しはらう];かうんたー で りょうきん を しはらった;J'ai payé les frais au guichet.
進歩[しんぽ];かがく ぎじゅつ は めざましく しんぽ して いる の;La science et la technologie ont fait des progrès remarquables.
預ける[あずける];かぎ を かれ に あずけた;Je lui ai donné la clé pour qu'il s'en occupe.
覚悟[かくご];かくご は できて います;Je suis préparé.
陰[かげ];かげ で すこし きゅうけい しましょう;Faisons une pause à l'ombre.
火災[かさい];かさい の げんいん は ほうか だ そう です;J'ai entendu dire que la cause de l'incendie était un incendie criminel.
灰[はい];かじ で すべて はい に なった;Tout s'est transformé en cendres dans le feu.
祝う[いわう];かぞく で かれ の ごうかく を いわった よ;Toute sa famille l'a célébré après avoir réussi l'examen.
価格[かかく];がそりん の かかく が どんどん あがって いる;Le prix de l'essence ne cesse d'augmenter rapidement.
肩[かた];かた が こりました;Mes épaules sont raides.
提出[ていしゅつ];かだい は 7 がつ 5 か まで に ていしゅつ して ください;Veuillez soumettre votre devoir avant le 5 juillet.
訓練[くんれん];がっこう で ひなん くんれん が ありました;Il y avait un exercice d'incendie à l'école.
出身[しゅっしん];かない は きゅうしゅう しゅっしん です;Ma femme est de Kyushu.
掴む[つかむ];かのじょ が ぼく の て を つかみました;Elle m'a serré la main.
黄色い[きいろい];かのじょ に  黄色[きいろ]い ばら を かいました;Je lui ai acheté une rose jaune.
幼い[おさない];かのじょ に は おさない むすこ が います;Elle a un petit fils.
魅力[みりょく];かのじょ の あかるさ に みりょく を かんじました;J'ai été charmé par sa gaieté.
詩[し];かのじょ の し は せかいじゅう で ゆうめい に なった ん だ;Sa poésie est devenue célèbre dans le monde entier.
涙[なみだ];かのじょ の め から なみだ が こぼれた;Des larmes coulèrent de ses yeux.
贅沢[ぜいたく];かのじょ は いっしょう ぜいたく に くらした ん だ;Elle a vécu toute sa vie dans le luxe.
文句[もんく];かのじょ は いつも もんく ばかり いう;Elle ne fait toujours que se plaindre.
怪我[けが];かのじょ は うで を けがした;Elle s'est blessée au bras.
繰り返す[くりかえす];かのじょ は おなじ まちがい を くりかえした;Elle a répété la même erreur.
地位[ちい];かのじょ は かいしゃ で たかい ちい に ついて いる よ;Elle occupe un poste élevé dans l'entreprise.
訴える[うったえる];かのじょ は かいしゃ を うったえた;Elle a poursuivi l'entreprise.
結ぶ[むすぶ];かのじょ は かみ に りぼん を むすんだ ね;Elle noua un ruban dans ses cheveux.
恋[こい];かのじょ は こい を して きれい に なった ね;Elle est tombée amoureuse et est devenue belle.
高価[こうか];かのじょ は こうか な ほうせき を もって いる わ;Elle a des bijoux coûteux.
奨学金[しょうがくきん];かのじょ は しょうがくきん で だいがく に いきました;Elle est allée à l'université grâce à une bourse.
骨折[こっせつ];かのじょ は すきー で あし を こっせつ した の;Elle s'est fracturé le pied en skiant.
機嫌[きげん];かのじょ は たいへん きげん が いい ね;Elle est de très bonne humeur.
叫ぶ[さけぶ];かのじょ は たすけ を もとめて おおごえ で さけんだ の;Elle a crié à l'aide.
当時[とうじ];かのじょ は とうじ まだ さんさい だった;Elle n'avait que trois ans à l'époque.
救う[すくう];かのじょ は とおりがかり の ひと に すくわれた よ;Elle a été sauvée par un inconnu de passage.
奇麗[きれい];かのじょ は とても きれい だ;Elle est très belle.
有能[ゆうのう];かのじょ は とても ゆうのう な ぶか です;C'est une subordonnée très compétente.
陽気[ようき];かのじょ は とても ようき です;Elle est très gaie.
維持[いじ];かのじょ は なんとか けんこう を いじ して いる わ ね;D'une manière ou d'une autre, elle parvient à rester en bonne santé.
肌[はだ];かのじょ は はだ が とても しろい です ね;Sa peau est très blanche.
履く[はく];かのじょ は ぶーつ を はいて います;Elle porte des bottes.
頬[ほお];かのじょ は ほお を あかく そめた わ;Ses joues virèrent au rose.
頬[ほほ];かのじょ は まっか な ほほ を している ね 。;Ses joues sont rouges.
模様[もよう];かのじょ は みずたま もよう の すかーと を はいて いる ね;Elle porte une jupe à pois.
可愛らしい[かわいらしい];かのじょ は むすめ に かわいらしい ふく を つくりました ね;Elle a confectionné de beaux vêtements pour sa fille.
滅多に[めったに];かのじょ は めったに おこりません 。|彼女[かのじょ]はめったに 怒[おこ]りません。;Elle s'énerve rarement. 
木綿[もめん];かのじょ は もめん の しゃつ を きて います;Elle porte une chemise en coton.
礼儀[れいぎ];かのじょ は れいぎ が み に ついて います;Elle est accomplie dans l'étiquette.
微笑む[ほほえむ];かのじょ は わたし に ほほえんだ よ;Elle m'a souri.
伸びる[のびる];かみ が だいぶ のびた ね;Vos cheveux ont beaucoup poussé, n'est-ce pas ?
雷[かみなり];かみなり が なって います;Le tonnerre gronde.
髪の毛[かみのけ];かみのけ が のびた ね;Vos cheveux sont plus longs, n'est-ce pas ?
回復[かいふく];からだ が すっかり かいふく した;J'ai complètement récupéré.
度々[たびたび];かれ から たびたび めーる が きます;Je reçois souvent des mails de sa part.
全て[すべて];かれ に すべて の こと を つたえた;Je lui ai tout dit.
美人[びじん];かれ の おかあさん は びじん です;Sa mère est une belle femme.
衣服[いふく];かれ の かいしゃ は いふく を あつかって いる よ;Son entreprise s'occupe de vêtements.
講演[こうえん];かれ の こうえん は ひょうばん が いい;Ses conférences ont bonne réputation.
商売[しょうばい];かれ の しょうばい は もうかって いる な;Son entreprise est rentable.
独特[どくとく];かれ の ふく の せんす は どくとく よ ね;Son sens du style est unique.
立派[りっぱ];かれ は  立派[りっぱ] な ひと です;Il est une personne honorable.
委員[いいん];かれ は いいん に えらばれました;Il a été élu au comité.
意志[いし];かれ は いし の つよい ひと です;C'est un homme de forte volonté.
意識[いしき];かれ は いしき を うしないました;Il a perdu connaissance.
黙る[だまる];かれ は いつも だまって しごと を します;Il travaille toujours en silence.
罰する[ばっする];かれ は いほう ちゅうしゃ で ばっせられた ん だ;Il a été condamné à une amende pour stationnement illégal.
禁煙[きんえん];かれ は いま きんえん して います;Il a arrêté de fumer maintenant.
不利[ふり];かれ は いま ふり な たちば に います;Il est désavantagé maintenant.
永久[えいきゅう];かれ は えいきゅう に かえらぬ ひと と なった の よ;Il est décédé.
微妙[びみょう];かれ は かいしゃ で びみょう な たちば に あります;Il occupe une position délicate dans l'entreprise.
推薦[すいせん];かれ は かいちょう に すいせん された よ;Il a été recommandé au président.
教授[きょうじゅ];かれ は かがく の きょうじゅ です;C'est un professeur de chimie.
器用[きよう];かれ は かなり きよう な ひと です;Il est très doué de ses mains.
金融[きんゆう];かれ は きんゆう かんけい の かいしゃ で はたらいて います;Il travaille dans une société financière.
軍隊[ぐんたい];かれ は ぐんたい に はいった よ;Il est entré dans l'armée.
満足[まんぞく];かれ は けっか に まんぞく した よう です;Il semble satisfait du résultat.
撃つ[うつ];かれ は けんじゅう で うたれた わ;Il a été abattu avec une arme de poing.
恋人[こいびと];かれ は こいびと を うしなった;Il a perdu sa petite amie.
豊か[ゆたか];かれ は こころ が ゆたか な ひと です;Il a un esprit riche.
競技[きょうぎ];かれ は こじん きょうぎ の すぽーつ が すき です;Il aime les sports individuels.
議員[ぎいん];かれ は こっかい ぎいん です;C'est un membre du Congrès.
叩く[たたく];かれ は こども の おしり を たたいた;Il a giflé son enfant sur les fesses.
辺[へん];かれ は このへん に すんで います;Il vit dans ces environs.
震える[ふるえる];かれ は さむくて ふるえて いました;Il avait froid et tremblait.
締める[しめる];かれ は しーとべると を しめた;Il a attaché sa ceinture de sécurité.
学問[がくもん];かれ は しょうねん の ころ から がくもん が すき でした;Il aimait apprendre depuis qu'il était tout petit.
典型[てんけい];かれ は しょくにん の てんけい です;C'est un artisan typique.
級[きゅう];かれ は しょどう さんきゅう です;Il a un certificat de troisième classe en calligraphie japonaise.
真剣[しんけん];かれ は しんけん に はなし を きいて いました;Il a écouté attentivement l'histoire.
描く[えがく];かれ は じんぶつ を えがく の が うまい な;Il est doué pour dessiner les gens.
記者[きしゃ];かれ は しんぶん きしゃ です;C'est un journaliste de presse.
詩人[しじん];かれ は すぐれた しじん です;C'est un fin poète.
指導[しどう];かれ は せいと の しどう が じょうず ね;Il est doué pour instruire les élèves.
理想[りそう];かれ は たかい りそう を もって いる の;Il a des idéaux élevés.
驚く[おどろく];かれ は ち を みて おどろいた;Il a été étonné de voir du sang.
遂に[ついに];かれ は ついに べんごし の しかく を とった よ;Il a finalement réussi l'examen du barreau.
批判[ひはん];かれ は どうりょう を ひはん した;Il a critiqué son collègue.
優秀[ゆうしゅう];かれ は とても ゆうしゅう な せいと です;C'est un étudiant très exceptionnel.
借金[しゃっきん];かれ は ともだち に しゃっきん を した ん だ;Il a emprunté de l'argent à un ami.
裏切る[うらぎる];かれ は なかま を うらぎった の|彼女に裏切られて落ち込んでいるんです。;Il a trahi ses amis.|Elle m'a trahi et je me sens déprimé.
農家[のうか];かれ は のうか に うまれました;Il est né dans une famille d'agriculteurs.
俳優[はいゆう];かれ は はいゆう です;Il est acteur.
速い[はやい];かれ は はしる の が はやい;Il court vite.
弾[たま];かれ は ぴすとる に たま を こめた ん だ;Il chargea le pistolet.
闘う[たたかう];かれ は びょうき と たたかった の;Il a lutté contre sa maladie.
来る[くる];かれ は ひるすぎ に きます;Il viendra après le déjeuner
笛[ふえ];かれ は ふえ を ふく の が うまい ね;Il joue bien de la flûte.
筆[ふで];かれ は ふで で てがみ を かいた の;Il a écrit la lettre avec un pinceau.
勇気[ゆうき];かれ は ゆうき が ある ね;Il est courageux.
技師[ぎし];かれ は れんとげん ぎし です;Il est radiologue.
親友[しんゆう];かれ は わたし の しんゆう です;C'est un ami proche.
握手[あくしゅ];かれら は あくしゅ を した;Ils se sont serré la main.
建築[けんちく];かれら は いえ を けんちくちゅう です;Ils sont en train de construire une maison.
気の毒[きのどく];かれら は きのどく な せいかつ を して いる;Ils vivent des vies pitoyables.
愉快[ゆかい];かれら は とても ゆかい な ひとたち です;Ce sont des gens très agréables.
彼ら[かれら];かれら は ばすけっと の せんしゅ です;Ce sont des basketteurs.
裸[はだか];かれら は はだか の つきあい を して いる よ;Ils ont une relation ouverte les uns avec les autres.
武器[ぶき];かれら は ぶき を とり たちあがった;Ils prirent les armes et se levèrent.
革[かわ];かわ の べると を かいました;J'ai acheté une ceinture en cuir.
訓[くん];かんじ の よみかた に は おん と くん の ふたとおり が ある の;Il existe deux manières de prononcer les kanji : la lecture dérivée du chinois et la lecture japonaise.
議長[ぎちょう];ぎちょう が かいかい の あいさつ を しました;Le président a prononcé les salutations d'ouverture de la réunion.
服[ふく];きのう あたらしい ふく を かった;J'ai acheté de nouveaux vêtements hier.
腰[こし];きのう から こし が いたい;J'ai mal au bas du dos depuis hier.
博物館[はくぶつかん];きのう くるま の はくぶつかん に いった;Je suis allé au musée de l'automobile hier.
植物[しょくぶつ];きゅうじつ は しょくぶつ の せわ を して すごします;Je passe mes journées de congé à m'occuper de mes plantes.
旧[きゅう];きゅうそびえと は いま は ろしあ と よばれて いる;L'ancienne Union soviétique s'appelle désormais la Russie.
結論[けつろん];きょう の はなしあい で は けつろん が でなかった;Nous ne sommes pas parvenus à une conclusion dans notre discussion d'aujourd'hui.
体育[たいいく];きょう は たいいく の じゅぎょう が あります;Il y a une leçon d'EPS aujourd'hui.
混雑[こんざつ];きょう は でぱーと が こんざつ して いた よ;Le grand magasin était bondé aujourd'hui.
暑い[あつい];きょう は とても あつい;Il fait très chaud aujourd'hui.
診察[しんさつ];きょう びょういん で しんさつ して もらった の;J'ai eu un examen à l'hôpital aujourd'hui.
比較[ひかく];きょねん の うりあげ と ひかく しましょう;Comparons-le avec les ventes de l'année dernière.
霧[きり];きり の ふかい よる の こと でした;C'était une nuit brumeuse.
泥[どろ];くつ が どろだらけ に なった よ;Ses chaussures étaient couvertes de boue.
穴[あな];くつした に あな が あいて いる;Il y a des trous dans mes chaussettes.
覆う[おおう];くも が そら を おおって いる ね;Le ciel est couvert.
氷[こおり];ぐらす に こおり を いれて ください;S'il vous plaît, mettez de la glace dans mon verre.
数[かず];ぐらす の かず が たりません;Il n'y a pas assez de verres.
駐車[ちゅうしゃ];くるま は ここ に ちゅうしゃ して ください;Veuillez garer la voiture ici.
刑事[けいじ];けいじ が げんば を しらべて いる わ;Le détective enquête sur la scène du crime.
軍[ぐん];けがにん は ぐん の びょういん に はこばれた よ;Les blessés ont été transportés à l'hôpital militaire.
体温[たいおん];けさ の たいおん は 36 ど でした;Ma température ce matin était de 36 degrés.
霜[しも];けさ は にわ の くさ に しも が おりて いた の;Il y avait du givre sur l'herbe du jardin ce matin.
実施[じっし];げんざい すぺしゃるきゃんぺーん を じっしちゅう です;Une campagne spéciale est en cours.
現代[げんだい];げんだい の かがく の しんぽ に は おどろく よ;L'avancement de la science contemporaine me surprend.
修正[しゅうせい];けんとう の けっか あん を しゅうせい した よ;Nous avons ajusté le plan à la suite de nos délibérations.
憲法[けんぽう];けんぽう を かいせい する こと は むずかしい わ ね;Il est difficile de réviser la constitution.
合計[ごうけい];ごうけい きんがく を けいさん して ください;Veuillez calculer le montant total.
禁止[きんし];こうさてん ふきん は ちゅうしゃ きんし です;Il est interdit de stationner à proximité de l'intersection.
高速[こうそく];こうそくばす で とうきょう に いった ん だ;Je suis allé à Tokyo en bus express.
退屈[たいくつ];こうちょう の たいくつ な はなし が つづいた ん だ よ;La conversation ennuyeuse du principal continuait.
国民[こくみん];こくみん の あんぜん が もっとも たいせつ です;La sécurité des citoyens est la plus importante.
中心[ちゅうしん];ここ が たてもの の ちゅうしん です;C'est le centre du bâtiment.
眺め[ながめ];ここ からの ながめ は さいこう です;La vue d'ici est fantastique.
跡[あと];ここ に たいや の あと が ある わ;Il y a une empreinte de pneu ici.
一方[いっぽう];ここ は いっぽう つうこう です;C'est une rue à sens unique.
立ち入り[たちいり]禁止[きんし];ここ は たちいりきんし です;Ici, c'est une zone interdite.
天然[てんねん];ここ は てんねん の おんせん です;Il s'agit d'une source chaude naturelle.
劇場[げきじょう];ごご はちじ に げきじょう の まえ で あいましょう;Rendez-vous devant le théâtre à 20h00.
黒板[こくばん];こたえ を こくばん に かいて ください;Veuillez écrire la réponse au tableau noir.
記入[きにゅう];こちら に おなまえ を ご きにゅう ください;Veuillez saisir votre nom ici.
底[そこ];こっぷ の そこ が ぬれて います よ;Le fond du verre est humide.
就く[つく];ことし から あたらしい しごと に つきます;Je vais commencer un nouveau travail cette année.
異常[いじょう];ことし の なつ は いじょう な あつさ です ね;Cet été est étrangement chaud.
春[はる];ことし の はる は あたたかい ね;Il fait chaud ce printemps, n'est-ce pas.
老人[ろうじん];こども が ろうじん の て を ひいて あるいて いた の;L'enfant tenait la main de la personne âgée pendant qu'ils marchaient.
道徳[どうとく];こども に は どうとく を きちんと おしえて いきたいと おもいます;J'aimerais bien enseigner la morale à mes enfants.
離す[はなす];こども の て を はなさないで ください;Ne lâchez pas la main de votre enfant.
愛情[あいじょう];こども は たくさん の あいじょう が ひつよう です;Les enfants ont besoin de beaucoup d'amour.
選択する[せんたくする];この 5 しゅるい から せんたく できます;Vous pouvez en sélectionner un parmi ces cinq types.
対象[たいしょう];この あんけーと は だいがくせい が たいしょう です;Ce questionnaire cible les étudiants universitaires.
踊り[おどり];この おどり は やさしい です よ;Cette danse est facile.
帯[おび];この おび は なが すぎます;Cette ceinture est trop longue.
性[せい];この かいしゃ で は せい に よる さべつ は ありません;Il n'y a pas de discrimination sexuelle dans cette entreprise.
柄[え];この かさ は え が じょうぶ だ な;La poignée de ce parapluie est solide.
根[ね];この き の ね は とても ふとい な;Les racines de cet arbre sont très épaisses.
特徴[とくちょう];この きょくせん が この くるま の とくちょう です;Ces courbes sont une caractéristique unique de cette voiture.
効く[きく];この くすり は あまり よく きかない よ;Ce médicament ne fonctionne pas très bien.
人種[じんしゅ];この くに に は さまざま な じんしゅ が います;Il existe de nombreuses ethnies dans ce pays.
女子[じょし];この くらす の じょし は じゅうはちにん です;Il y a 18 filles dans cette classe.
恩[おん];この ごおん は いっしょう わすれません;Je n'oublierai jamais cette gentillesse.
渋滞[じゅうたい];この こくどう は よく じゅうたい します;Cette route nationale est souvent congestionnée.
解釈[かいしゃく];この し を かいしゃく して みましょう;Essayons d'interpréter ce poème.
辛い[つらい];この しごと は つらい です;Ce travail est rude.
袖[そで];この しゃつ は そで が みじかい;Cette chemise a des manches courtes.
条件[じょうけん];この じょうけん で は きびし すぎます;C'est trop dur dans ces conditions.
拡大[かくだい];この ず を かくだい こぴー して ください;Veuillez faire un agrandissement de ce tableau.
地域[ちいき];この ちいき は あめ が おおい;Il pleut beaucoup dans cette région.
温暖[おんだん];この ちほう は おんだん で くらし やすい な;Le climat doux de ces régions facilite la vie ici.
包み[つつみ];この つつみ は だれ の です か;A qui est ce colis ?
賞[しょう];この でざいん は かずかず の しょう を うけて います;Cette conception a reçu de nombreux prix.
測る[はかる];この どあ の たかさ を はかって ください;Veuillez mesurer la hauteur de cette porte.
狂う[くるう];この とけい は すぐ くるう の;Cette horloge se détraque souvent.
鉄[てつ];この なべ は てつ で できて います;Ce pot est en fer.
布[ぬの];この ぬの は かーてん に つかえます;Ce tissu peut être utilisé pour les rideaux.
適用[てきよう];この ばあい ほけん が てきよう されます か;Dans ce cas, l'assurance s'applique-t-elle ?
小[しょう];この はこ の しょう を ください;Veuillez me donner la petite version de cette boîte.
香り[かおり];この はな は いい かおり が します ね;Cette fleur sent bon.
違い[ちがい];この ふたつ に は おおき な ちがい が ある;Il y a une grande différence entre ces deux-là.
飛行[ひこう];この ふらいと の ひこう じかん は やく 3 じかん です;Le temps de vol est d'environ trois heures.
協力[きょうりょく];この ぷろじぇくと に は みんな の きょうりょく が ひつよう です;Ce projet nécessite la coopération de tous.
羽根[はね];この ぺん は とり の はね で つくられて います;Ce stylo est fabriqué à partir d'une plume d'oiseau.
棒[ぼう];この ぼう は なに に つかう の です か;A quoi sert ce bâton ?
章[しょう];この ほん の だいろくしょう が とくに すき です;J'aime particulièrement le chapitre 6 de ce livre.
出版[しゅっぱん];この ほん は じゅうごねんまえ に しゅっぱん された;Ce livre a été publié il y a 15 ans.
参考[さんこう];この ほん を さんこう に して ください;Veuillez vous référer à ce livre.
幅[はば];この みち は はば が せまい の で き を つけて うんてん して ください;Cette route est étroite, conduisez donc prudemment.
毛布[もうふ];この もうふ は あたたかい;Cette couverture est chaude.
硬い[かたい];このパンは 固[かた]いですが 、 美味[おい]しいです 。;Ce pain est dur, mais délicieux.
小麦[こむぎ];こむぎ は いろいろ な たべもの に つかわれて いる;Le blé est utilisé dans de nombreux aliments.
石炭[せきたん];こや に せきたん の やま が あります;Il y a une montagne de charbon dans la hutte.
税[ぜい];これ いじょう ぜい が あがる と せいかつ できない ね;Si les impôts augmentent encore, nous ne pourrons plus gagner notre vie.
最低[さいてい];これ は いま まで で さいてい の きろく だ;C'est le pire record à ce jour.
税金[ぜいきん];これ は ぜいきん の むだづかい だ ね;C'est un gaspillage de l'argent des contribuables.
承認[しょうにん];これ は せいふ の しょうにん を うけた しかく です;Ceci est une qualification approuvée par le gouvernement
大切[たいせつ];これ は はは が たいせつ に して いた ゆびわ です;Ceci est une bague qui était importante pour ma mère.
秘密[ひみつ];これ は ひみつ です;C'est un secret.
順番[じゅんばん];これ を じゅんばん どおり に ならべ かえて ください;Veuillez les réorganiser dans l'ordre.
筋[すじ];ころんで すじ を いためて しまいました;Je suis tombé et j'ai endommagé mon tendon.
支出[ししゅつ];こんげつ の わがや の ししゅつ は じゅうごまんえん です;Les dépenses de notre ménage sont de 150 000 yens ce mois-ci.
語る[かたる];こんや は おおいに かたりましょう;Parlons de tout ce soir.
株[かぶ];さいきん かぶ を はじめました;J'ai récemment commencé à investir dans des actions.
評価[ひょうか];さいきん かれ の ひょうか が あがった;Il a reçu plus de reconnaissance ces derniers temps.
量[りょう];さいきん しょくじ の りょう を へらして います;Dernièrement, je diminue la quantité de nourriture que je mange.
減らす[へらす];さいきん しょくじ を へらして います;Je mange moins depuis peu.
傾向[けいこう];さいきん の わかもの は むずかしい ほん を よまない けいこう が ある;De nos jours, les jeunes ont tendance à ne pas lire de livres difficiles.
就職[しゅうしょく];さいきん わかい ひとたち の しゅうしょく が むずかしく なって います;Il a été difficile pour les jeunes de trouver un emploi ces derniers temps.
裁判[さいばん];さいばん の ようす は てれび で ちゅうけい された わ よ;Des scènes du procès ont été diffusées à la télévision.
漬ける[つける];さかな を みそ に つけました;J'ai fait mariner le poisson dans du miso.
実に[じつに];さくじつ の こんさーと は じつに すばらしかった よ;Le concert d'hier était en effet merveilleux.
団体[だんたい];さっかー は だんたい きょうぎ です;Le football est un événement d'équipe.
