此の[この];この猫ですね。;C'est ce chat-ci, n'est-ce pas ?;695
十万[じゅうまん];パチンコで十万円かちました。;J'ai gagné cent mille yens au pachinko.;696
九つ[ここのつ];私たちの学校にはクラスが９つある。;Il y a neuf classes dans notre école.;699
お祖母さん[おばあさん];かのじょ は おばあさん と すん でいる 。;Elle vit avec sa grand-mère.;702
お皿[おさら];コップとお皿は割れていた。;La tasse et l'assiette étaient cassées.;703
直ぐに[すぐに];彼は直ぐにそのショックから立ち直った。;Il s'est rapidement remis du choc.;704
四[し];四月ですね。;Nous sommes en avril, n'est-ce pas ?;705
二万[にまん];このぶどうは二万円もしました。;Ces raisins coûtaient 20 000 yens !;706
五百[ごひゃく];567/五百六十七;cinq cent soixante-sept;709
を見せて[をみせて];チケットを見せてください。;Veuillez me montrer votre billet.;713
見せて[みせて];ちょっと見せてくださいね。;Montrez-moi un instant, d’accord ?;714
何ですか[なんですか];入国目的は何ですか。;Quel est le but de votre entrée dans le pays ?;717
大変ですね[たいへんですね];大変ですね;C'est difficile.;718
分かりました[わかりました];ああ、そうですか。分かりました。;Ah, oui ? Je comprends.;720
煩い[うるさい];隣の部屋がうるさいのです。;La pièce voisine est bruyante.;721
いい天気ですね[いいてんきですね];今日はいい天気ですね。;Il fait beau aujourd'hui.;724
どうぞお上がり[どうぞおあがり];どうぞお上がりください。;Veuillez entrer.;728
じゃ、また明日[じゃ、またあした];じゃ、また明日;Bien, à demain !;730
茶わん[ちゃわん];この大きい茶わんは誰のですか。;À qui appartient ce grand bol ?;731
鶏肉[とりにく];私は鶏肉を食べたい。;Je veux manger du poulet.;732
本当ですか[ほんとうですか];君がボストンに住みたかったというのは本当ですか？ その話は本当ですか。;Cette histoire est-elle vraie ?;733
全部で[ぜんぶで];全部で1050円です。;Au total, ça fait 1050 yens.;734
重い病気[おもいびょうき];友だちは重い病気があります。;Mon ami a une maladie grave.;735
駄目ですか[だめですか];駄目ですか;Ce n'est pas possible ? vous ne pouvez pas (venir) ? (Lit. : C'est raté ? C'est impossible ?);736
上手に[じょうずに];彼は上手に英語を話す。;Il parle bien anglais.;737
ねつを出す[ねつをだす];ねつを出す;Développer de la fièvre;738
四百[よんひゃく];このしりょうを四百枚コピーしてください。;Veuillez faire quatre cents copies de ce document.;739
此方こそ宜しく[こちらこそよろしく];此方こそ宜しく;c'est moi qui suis ravi de vous connaître (réponse);742
テープレコーダー;テープレコーダーを使います。;J’utilise un enregistreur magnétophone.;747
残念ですね[ざんねんですね];その事故で誰も助からなかったのは残念ですね。;C'est vraiment dommage que personne n'ait pu être sauvé lors de cet accident.;751
これで終わる[これでおわる];これで終わる;C'est la fin.;753
どう致しまして[どういたしまして];「ありがとうご座います」「どう致しまして」;« Merci beaucoup. » « De rien. »;755
然うして[そうして];ご飯を食べた。そうして、寝た。;J'ai mangé. Puis je me suis couché.;758
皆で[みんなで];皆でその歌を歌いましょう！;Chantons la chanson tous ensemble !;759
失礼いたします[しつれいいたします];昨日は失礼いたしました。;Je vous prie de m'excuser pour hier.;760
昼御飯[ひるごはん];普段はここでお昼ご飯を食べてます。;Je déjeune généralement ici.;762
でも飲みませんか[でものみませんか];ビールでも飲みませんか。;Que diriez-vous d'aller boire une bière ?;763
ああ良かった[ああよかった];ああ良かった;Oh, c'est bien.;764
疲れました[つかれました];楽しく街を見ましたが、少し疲れました。;J'ai beaucoup aimé visiter la ville, mais je suis un peu fatigué.;765
良かったですね[よかったですね]？;良かったですね;tant mieux, n'est-ce pas ?;767
困ったなあ[こまったなあ];困ったなあ。;c'est ennuyeux, que faire ?;768
御休みなさい[おやすみなさい];御休みなさい;Bonne nuit.;771
短く[みじかく];あの赤いネクタイはあまり短くないです。;Cette cravate rouge n'est pas tellement courte.;774
お忙しいですか[おいそがしいですか];今、お忙しいですか。;Êtes-vous occupé en ce moment ?;775
凄いですね[すごいですね];凄いですね;C'est incroyable !;776
詰らない[つまらない];少年達はキャロルのことをつまらない人間だと思っていた。;Les garçons trouvaient Carol ennuyeuse.;777
粁[キロメートル];七千キロメートル;7000 kilomètres;778
此れでいいですか[これでいいですか];此れでいいですか;Est-ce que ça vous convient ?;781
いいですね;彼にもわかるように、私達も英語で話した方がいいですね。;Il serait préférable que nous parlions en anglais pour qu'il puisse comprendre.;784
何階[なんがい];何階にお住まいですか？;À quel étage habitez-vous ?;785
ちょっと~まで;ちょっとあそこまでいこう。 ちょっとさいごまで わたしの はなしをきいて！ きのうは ちょっとおそくまで おきていました。;Allons un peu plus loin. Écoute-moi d'abord un peu, s'il te plaît ! Hier, je suis resté debout un peu tard.;788
いいですよ;いいえ、消してもいいですよ。;Non, vous pouvez l'effacer.;790
元気です[げんきです];私も元気です。;Moi aussi, je vais bien.;791
ラジオカセット;ラジオカセットで音楽を聞きます。;J'écoute de la musique sur un radio-cassette.;792
而して[そして];そして、もう一度廊下を見た。;Puis, je regardai à nouveau le couloir.;793
お婆さん[おばあさん];あのお婆さんは誰ですか？;Qui est cette vieille dame ?;795
疲[つか]れる;彼はすぐに疲れる。;Il se fatigue facilement.;796
仕方[しかた];ファイル の ダウンロード の しかた が わかりません;Je ne comprends pas la manière de télécharger ce fichier.;874
探す[さがす];代役を探すのはおおごとだよ。;Trouver un remplaçant est une tâche importante.;940
見つける[みつける];トムを見つけて。 ;Trouvez Tom.;980
心配[しんぱい];ここで待ってるから、心配すんな。;Je vais attendre ici, alors ne t'inquiète pas.;1016
食事[しょくじ];今晩はレストランで食事しよう。;Allons faire un repas au restaurant ce soir.;1017
熱[ねつ];きのう の よる ねつ が でました;J'ai eu de la fièvre hier soir.;1022
下着[したぎ];わたし は したぎ を て で あらう;Je lave mes sous-vêtements à la main.;1024
御目出度ございます[おめでとうございます];国際女性の日おめでとうございます！;Bonne Journée internationale (du droit) des femmes !;1029
用[よう];用があるので、早く帰る。;J'ai quelque chose dont je dois m'occuper, alors je vais partir plus tôt.;1036
迎える[むかえる];来年は、富士山で新年を迎えたい。;L'année prochaine, je souhaite accueillir la nouvelle année au mont Fuji.;1043
安心[あんしん];それを聞いて安心しました。;J'ai été soulagé d'entendre cela.;1049
知らせる[しらせる];知らせてくれてありがとう。;Merci de me le faire savoir.;1052
下りる[おりる];そこ の かいだん を おりて ください;Veuillez descendre ces escaliers.;1053
線[せん];８番線で急行に乗ります。;Je monterai dans l'express de la ligne numéro 8.;1055
髪[かみ];マリアさんの髪は長いです。;Les cheveux de Maria sont longs.;1071
注意[ちゅうい];そのビンを落とさないように注意しなさい。;Faites attention à ne pas laisser tomber cette bouteille.;1074
案内[あんない];わたし が なか を ごあんない します;Je vais vous guider à l’intérieur.;1079
驚く[おどろく];かれ は ち を みて おどろいた;Il a été étonné de voir du sang.;1084
相談[そうだん];彼には相談する人がいない。;Pour lui, il n’y a pas de personne à qui demander conseil.;1088
入院[にゅういん];トムは3ヶ月前から入院している。;Tom est hospitalisé depuis trois mois.;1090
投げる[なげる];ぼーる を こっち に なげて ください;S'il vous plaît, lancez la balle ici.;1096
か;赤いか青い。 ;Rouge ou bleu.;1110
アメリカ;アメリカから帰る前に私は卒業してしまってるでしょう。;Je serai probablement diplômé avant mon retour d'Amérique.;1115
ご存知[ごぞんじ];この人の名前をご存知ですか。;Connaissez-vous le nom de cette personne ? (Honorifique);1140
入学[にゅうがく];彼はその大学に入学を許可されなかった。;Il n'a pas été admis dans cette université.;1142
柔らかい[やわらかい];新しいソファーはとても柔らかいです。;Le nouveau canapé est vraiment moelleux.;1144
運動[うんどう];彼女たちは選挙権を勝ち取るための運動を指揮した。;Ils ont mené le mouvement pour obtenir le droit de vote.;1146
あっ;あっ、木村さんからメールが入ってきました。;Oh, un e-mail de M. Kimura est arrivé.;1160
出席[しゅっせき];私がそのパーティーに出席する必要がありますか。;Est-ce qu’il y a nécessité que j’assiste à cette fête ?;1169
拝見[はいけん];切符を拝見します。;Puis-je voir votre billet ? (littéralement : Je vais regarder votre billet.);1177
簡単[かんたん];心配しないで。簡単だよ。;Ne t'inquiète pas. C'est facile.;1182
プレゼント;私が買ったプレゼント、トムは気に入ると思う？;Penses-tu que Tom aimera le cadeau que je lui ai acheté ?;1185
チェック;彼女がホテルのチェックアウトしたのって、何時だった？;À quelle heure a-t-elle quitté l'hôtel ?;1186
紹介[しょうかい];両親に彼女を紹介した。;J'ai présenté ma petite amie à mes parents.;1192
無理をする[むりをする];たいそうご無理をお願いしてすみません。;Je suis vraiment désolé de vous demander de faire quelque chose d'aussi difficile.;1205
運転[うんてん];トムはホテルのエレベーターの運転手と親しくなりました。;Tom s'est lié d'amitié avec le conducteur d'ascenseur de l'hôtel.;1212
けれど;彼は疲れていたけれども、働くのをやめようとはしなかった。;Il était fatigué, mais il n'a pas cessé de travailler.;1265
ベル;げんかん の ベル が なった;La cloche d'entrée sonnait.;1267
アナウンサー;わたし は アナウンサー に なりたい;Je veux devenir annonceur.;1292
踊り[おどり];この おどり は やさしい です よ;Cette danse est facile.;1300
パート;妻がパートの仕事を探しています。;Ma femme est à la recherche d'un emploi à temps partiel.;1311
毎月[まいげつ];毎月レポートを出さなければならない。;Je dois rendre un rapport chaque mois.;1323
アクセサリー;この アクセサリー は すてき ね;Ce bijoux est ravissant.;1325
日[ひ];なつ は ひ が ながい;Les journées sont longues en été.;1335
スクリーン;トムはスクリーンに釘付けだった。;Tom était rivé à l'écran.;1340
はず;あの二人、たしか去年結婚したはずだよ。;Ces deux-là auraient dû se marier l'année dernière.;1347
お祝い[おいわい];心からお祝いを申し上げます。;Je vous adresse mes plus sincères félicitations.;1348
葡萄[ぶどう];わたし は ぶどう が すき です;J'aime les raisins.;1369
お湯[おゆ];カップラーメンはお湯を入れてたった3分間待てば出来上がる。;Les nouilles instantanées en tasse sont prêtes en seulement 3 minutes après l'ajout d'eau chaude.;1375
降り出す[ふりだす];私は雨が降り出す前に学校に着いた。;Je suis arrivé à l'école avant qu'il ne commence à pleuvoir.;1377
木綿[もめん];かのじょ は もめん の しゃつ を きて います;Elle porte une chemise en coton.;1380
気分がいい[きぶんがいい];気分がいいです。昨晩はよく眠れました。;Je me sens bien. J'ai très bien dormi la nuit dernière.;1382
お先にどうぞ[おさきにどうぞ];紳士の人からお先にどうぞ。;Messieurs, veuillez passer en premier.;1386
恐い[こわい];俺の母親は世界で一番恐い。;Ma mère est la plus effrayante du monde.;1387
ワープロ;ワープロがあれば、こんな煩わしさはなくなるだろう。;Si j'avais un traitement de texte, ce genre de désagréments disparaîtrait.;1391
コンピュータ;コンピューターを直せますか。;Pouvez-vous réparer mon ordinateur ?;1393
押入れ[おしいれ];私は押入れに閉じ込められるのがこわかった。;J'avais peur d'être enfermée dans le placard.;1399
成程[なるほど];なるほど よく わかりました;Je vois, je comprends très bien.;1401
火[ひ];ひ を けして;Éteins le feu.;1408
久し振り[ひさしぶり];大変お久しぶりですね。;Ça faisait très longtemps !;1416
ハンドバッグ;ハンドバッグ を わすれました;J'ai oublié mon sac à main.;1417
お出でになる[おいでになる];あなたがお出でになれない事を聞いてがっかりしました。;J'ai été déçu d'apprendre que vous ne pourriez pas venir.;1419
漬ける[つける];さかな を みそ に つけました;J'ai fait mariner le poisson dans du miso.;1423
一緒にいかがですか[いっしょうにいかがですか];ご一緒にいかがですか。;Souhaiteriez-vous vous joindre à moi ?;1427
お出かけですか[おでかけですか];今日はどちらへお出かけですか？;Où vas-tu aujourd'hui ?;1428
お陰[おかげ];友達のお陰で毎日楽しいです。;Grâce à mes amis, chaque jour est amusant.;1430
お腹が一杯だ[おなかがいっぱいだ];お腹が一杯;Je suis rassasié;1435
お引き出しですか[おひきだしですか];お引き出しですか;Voulez-vous faire un retrait;1436
どうぞお元気で[どうぞおでげんきで];どうぞお 元気で;Prenez soin de vous.;1437
と言う本[というほん];「パンドラ・アイランド」と言う本を読みます。;Je vais lire un livre intitulé « L'Île de Pandore ».;1441
今いいでしょうか[いまいいでしょうか];今いいでしょうか;Est-ce le bon moment ?;1445
お元気でいらっしゃいますか[おげんきでいらっしゃいますか];お元気でいらっしゃいますか;comment allez-vous ? (respectueux);1447
宜しい[よろしい];レポートは これで よろしいですか。;Est-ce que le rapport est bon comme ça ?;1453
どちら様でしょうか[どちらさまでしょうか];どちら様でしょうか。;Puis-je demander qui appelle.;1457
あのう、お願いがあるんですが[あのうおねがいがあるんですが];あのう、お願いがあるんですが。;Euh, j'ai une faveur à vous demander.;1459
そろそろ失礼します[そろそろしつれいします];それではそろそろ失礼します。;Eh bien, je vous laisse.;1460
ラジカセ;ラジカセで音楽を聞く。;J'écoute de la musique sur un radiocassette.;1461
働きすぎ[はたらきすぎ];あなたは働きすぎです。しばらく座って楽にしなさい。;Tu travailles trop. Assieds-toi et détends-toi un moment.;1465
楽しみにしている[たのしみにしている];私は君や君の家族に会えるのを楽しみにしている。;J'ai hâte de vous rencontrer, vous et votre famille.;1466
の代わりに[のかわりに];私の代わりに彼女に言ってください。;Veuillez lui dire cela de ma part.;1467
が素敵ですね[がすてきですね];素敵ですね;C'est merveilleux.;1473
成るべく[なるべく];なるべく はやく しごと を おわらせて ください;Veuillez terminer votre travail le plus tôt possible.;1474
旨い[うまい];肉は、旨い。;La viande est délicieuse.;1476
ご注文は[ごはちゅうもんは];ご注文は何にしますか。;Que souhaitez-vous commander ?;1479
パーティールーム;パーティールームを飾りに行きましょう。;Allons décorer la salle de fête.;1481
其れに[それに];山の上からの景色が綺麗。それに空気も綺麗。;La vue depuis le sommet de la montagne est belle. En plus, l'air aussi est bon.;1484
に就いて[について];彼とニュースについて話しました。;J'ai parlé avec lui à propos des nouvelles.;1486
漸と[やっと];この子、やっと寝たみたいよ。;On dirait que cet enfant s'est enfin endormi.;1487
デスクトップパソコン;私はノートパソコンとデスクトップパソコンの二台のコンピューターを持っている。;Je possède deux ordinateurs : un ordinateur portable et un ordinateur de bureau.;1499
けど、;コートはあるけど、帽子はないです。;J'ai un manteau, mais je n'ai pas de chapeau.;1500
していらっしゃいます;土曜日は診察していらっしゃいますか。;Êtes-vous disponible pour des consultations le samedi ?;1501
殖える[ふえる];なんだか毛が殖えてるなあと思ったら、植毛手術をしたんだぁ！なるほどねぇ。;Je pensais que vos cheveux s'étaient multipliés d'une manière ou d'une autre, mais vous avez subi une chirurgie de remplacement capillaire, hein ? Je vois.;1506
人間[にんげん];にんげん の こころ は ふくざつ です;L'esprit de l'homme est complexe.;1507
者[もの];私は留守番の者です。;Je suis la personne de garde de la maison.;1517
友人[ゆうじん];かれ は こうこう じだい から の ゆうじん です;C'est mon vieil ami du lycée.;1518
一生[いっしょう];いっしょう の おねがい が あります;J'ai une faveur unique dans une vie.;1522
全て[すべて];かれ に すべて の こと を つたえた;Je lui ai tout dit.;1526
自然[しぜん];みんな で しぜん を まもりましょう;Travaillons tous pour protéger la Nature.;1527
全く[まったく];わたし に は まったく わかりません;Je ne comprends pas du tout.;1531
分ける[わける];おかし を みんな で わけました;Nous avons partagé les bonbons avec tout le monde.;1543
大した[たいした];それは大したことはない。;Ce n'est pas grave.;1548
一方[いっぽう];ここ は いっぽう つうこう です;C'est une rue à sens unique.;1553
知識[ちしき];もっと色々な知識を増やしたい。;Je souhaite approfondir mes connaissances sur diverses choses.;1560
事実[じじつ];それ は すべて じじつ です か;Est-ce que tout est vrai ?;1565
当時[とうじ];かのじょ は とうじ まだ さんさい だった;Elle n'avait que trois ans à l'époque.;1567
時期[じき];冬は一日が短く、最も寒い時期です。;Concernant l’hiver, les journées sont courtes, et c’est la période la plus froide.;1568
本物[ほんもの];これ は ほんもの の だいやもんど です;C'est un vrai diamant.;1570
意外[いがい];意外にも彼は独身です。;Étonnamment, il est célibataire.;1574
手術[しゅじゅつ];ちち は むね の しゅじゅつ を した;Mon père s'est fait opérer de la poitrine.;1579
通り[とおり];この とおり は にぎやか です ね;Cette rue est animée, n'est-ce pas ?;1580
理解[りかい];りかい して くれて ありがとう;Merci de votre compréhension.;1581
恋人[こいびと];かれ は こいびと を うしなった;Il a perdu sa petite amie.;1582
分析[ぶんせき];今の経済の動きを分析しています。;J’analyse les mouvements de l’économie actuelle.;1586
月[がつ];祭日が日曜にダブると月曜が休みになる。;Si un jour férié tombe un dimanche, le lundi devient un jour de repos.;1591
食う[くう];はらいっぱい くった;J'ai mangé avec appétit.;1595
最高[さいこう];これまで で さいこう の けっか が でた よ;J'ai obtenu mes meilleurs résultats jusqu'à présent.;1596
他[ほか];他の人はどこですか？;Où sont les autres ?;1597
絶対[ぜったい];そんな こと は ぜったい できない よ;Je ne pourrai jamais faire une telle chose.;1598
度[たび];ある程度君の言い方は正しい。;Dans une certaine mesure, ce que vous dites est correct.;1602
下ろす[おろす];たな から その はこ を おろして ください;Il a déchargé les bagages de la voiture.;1607
意識[いしき];かれ は いしき を うしないました;Il a perdu connaissance.;1621
無事[ぶじ];事故に遭った人の無事が確認された。;Il a été confirmé que la personne impliquée dans l'accident est saine et sauve.;1627
起こる[おこる];まち で だいじけん が おこりました;Un incident majeur s'est produit dans la ville.;1643
一般[いっぱん];いっぱん の かた は こちら の せき へ どうぞ;Les places générales sont par ici.;1660
手段[しゅだん];彼は目的のためには手段を選ばなかったわね。;Il n'a pas choisi qu'un moyen pour atteindre ses objectifs, n'est-ce pas ?;1674
金[かね];これ は かなり かね が かかった;Cela a coûté pas mal d'argent.;1689
味方[みかた];私はいつも、あなたの味方です。;Je suis toujours à tes côtés.;1713
得意[とくい];得意料理はオムレツです。;Le plat que je maîtrise est l’omelette.;1714
状態[じょうたい];大雨で、この川は危険な状態だ。;À cause des fortes pluies, cette rivière est dans un état dangereux.;1725
偉大[いだい];彼は偉大な音楽家だ。;Il est un grand musicien.;1745
空[から];雨がやんで空が明るくなった。;La pluie a cessé et le ciel s'est éclairci.;1754
地方[ちほう];この地方には、自然がたくさんある。;Cette région a beaucoup de nature.;1768
引っ張る[ひっぱる];むすめ が わたし の て を ひっぱった;Ma fille m'a tiré la main.;1771
何でも[なんでも];お母さんが何でもしてあげるから。;Maman ferait n'importe quoi pour toi.;1772
数[すう];今日は数人の学生が欠席した。;Plusieurs étudiants étaient absents aujourd'hui.;1775
追う[おう];女の子が犬を追い掛けている。;La fille est en train de courir après le chien.;1780
悪魔[あくま];今夜は悪魔と出かける気分じゃないの。;Je ne suis pas d'humeur à sortir avec le diable ce soir.;1791
行動[こうどう];彼は娘の行動に腹を立てた。;Il était furieux du comportement de sa fille.;1800
唯一[ゆいいつ];吉田君は、会社で唯一の18歳だ。;Yoshida est le seul jeune de 18 ans dans l'entreprise.;1804
知恵[ちえ];友達に子育ての知恵をアドバイスしてもらった;J’ai reçu de mon ami des conseils de sagesse sur l’éducation des enfants.;1805
殺す[ころす];わたし は いきもの を ころす の が きらい だ;Je déteste tuer des êtres vivants.;1807
次第[しだい];れんらく が あり しだい しゅっぱつ します;Je partirai dès qu'on me le dira.;1808
言わば[いわば];彼女は言わば姉のような存在です;Elle est comme une sœur pour ainsi dire.;1809
小[しょう];この はこ の しょう を ください;Veuillez me donner la petite version de cette boîte.;1810
要素[ようそ];睡眠は健康の為の重要な要素である。;Le sommeil est un élément important pour une bonne santé.;1818
生地[きじ];マリメッコの生地でクッションを作りました。;J'ai fait un coussin en tissu Marimekko.;1831
男の人[おとこのひと];私のドイツ語の先生は男の人です。;Mon professeur d'allemand est un homme.;1834
日曜[にちよう];毎週日曜日は教会に行きます。;Je vais à l'église tous les dimanches.;1835
勝ち[かち];うたがっせん は あか ぐみ の かち でした ね;L'équipe rouge a remporté le concours de chant.;1836
抜く[ぬく];わいん の こるく を ぬきました;J'ai débouché le vin.;1844
気づく[きづく];トムの行動に気づく人はいないと思う。;Je ne pense pas que quiconque remarquera ce que fait Tom.;1846
気味[きみ];とても不気味だと思った。;J'ai trouvé ça très effrayant.;1864
感心[かんしん];彼の上手い言い回しに感心した;J'ai été impressionné par ses efforts.;1868
優勝[ゆうしょう];彼女は昨年五つの大会で優勝した。;Elle a remporté cinq concours l'année dernière.;1877
王子[おうじ];王子は、じょうばをはじめました。;Le prince a commencé l'équitation.;1882
目の前[めのまえ];何かを言うべき相手は僕の目の前から消え去った。;La personne à qui j'aurais dû dire quelque chose a disparu de ma vue.;1896
流す[ながす];かのじょ は なみだ を ながした ん だ;Elle a versé des larmes.;1897
都会[とかい];彼は都会での生活を楽しんでいるの。;Il profite de la vie en ville.;1910
疑問[ぎもん];彼の言葉が本当かは疑問です。;Je doute que ses paroles soient vraies.;1914
不満[ふまん];私は彼のやり方には不満です。;Je ne suis pas satisfait de ses méthodes.;1919
台[だい];車が一台こちらのほうへ近づいてきた。;Une voiture s'approchait de nous.;1933
大半[たいはん];労働者の大半は組合に属している。;La majorité des travailleurs sont syndiqués.;1943
側[そば];彼らは川の向こう側に住んでいる。;Ils habitent de l'autre côté de la rivière.;1944
種類[しゅるい];ご存知のように日本語には文字が三種類 あります。;Comme vous le savez, il existe trois types de caractères en japonais.;1954
著者[ちょしゃ];なんと私の姉もその本の著者でした。;Étonnamment, ma sœur était également l'auteur de ce livre. ;1966
証明[しょうめい];ようぎしゃ の ありばい が しょうめい されました;L'alibi du suspect a été prouvé.;1967
